pos_postest,speed_postest,pos_true,speed_true,pos_measure,speed_measure,pos_firstest,speed_firstest
1.06072,1.10398,1.005,0.959915,1.08963,1.85463,1,1
2.34426,1.13751,1.8778,0.822136,2.51143,0.976738,2.16469,1.10398
3.34093,0.985608,2.54085,0.859899,3.30312,0.420582,3.48177,1.13751
3.99102,0.787254,3.24533,0.989365,3.76592,0.325828,4.32654,0.985608
4.52152,0.69371,4.13906,1.13941,4.28191,0.635924,4.77828,0.787254
5.05599,0.721195,5.26371,1.24927,4.77808,1.1179,5.21523,0.69371
5.51742,0.738775,6.56355,1.28744,5.10963,1.24528,5.77719,0.721195
6.47775,1.05987,7.92787,1.25851,6.28972,2.34588,6.2562,0.738775
8.00758,1.45195,9.24868,1.19459,8.06783,2.70557,7.53762,1.05987
9.88239,1.71874,10.4687,1.136,10.0732,2.40814,9.45953,1.45195
11.7699,1.7636,11.6047,1.11046,11.944,1.72427,11.6011,1.71874
13.3279,1.57671,12.591,1.05707,13.326,0.949659,13.5335,1.7636
14.4229,1.28521,13.4821,1.13832,14.1856,0.563305,14.9046,1.57671
15.2092,1.05004,14.483,1.28404,14.8576,0.642848,15.7081,1.28521
16.0016,0.983202,15.7022,1.42455,15.7332,1.05164,16.2593,1.05004
16.5124,0.756451,17.1406,1.50858,16.1858,0.350235,16.9848,0.983202
17.3444,0.978404,18.7151,1.51856,17.1014,1.99113,17.2689,0.756451
18.7827,1.3978,20.3091,1.47143,18.7849,2.80718,18.3228,0.978404
20.7403,1.78862,21.8298,1.40507,20.9331,2.89341,20.1805,1.3978
22.9167,1.99095,23.2466,1.35713,23.159,2.40718,22.5289,1.78862
24.9544,1.95078,24.5448,1.34734,25.0862,1.6714,24.9076,1.99095
26.5949,1.71817,25.7426,1.35424,26.5134,1.02423,26.9052,1.95078
27.8164,1.44165,26.9346,1.4688,27.5337,0.819861,28.3131,1.71817
28.8448,1.27028,28.2906,1.62022,28.5162,1.05263,29.2581,1.44165
29.9645,1.27171,29.8776,1.74343,29.7432,1.5184,30.1151,1.27028
30.8213,1.18403,31.6595,1.79902,30.3573,1.39613,31.2362,1.27171
32.1301,1.4601,33.5332,1.78347,31.8725,2.67096,32.0054,1.18403
34.0408,1.86265,35.3853,1.72399,34.0562,3.20085,33.5902,1.4601
36.3742,2.17768,37.1437,1.66096,36.5581,3.03714,35.9034,1.86265
38.8003,2.28067,38.806,1.62653,38.998,2.41132,38.5519,2.17768
